arg	V(vout)
0.000000000000000e+00	3.442593e+00
1.200000000000000e-01	3.399506e+00
2.400000000000000e-01	3.356844e+00
3.600000000000000e-01	3.315235e+00
4.800000000000000e-01	3.275294e+00
6.000000000000000e-01	3.237622e+00
7.200000000000000e-01	3.202793e+00
8.400000000000000e-01	3.171340e+00
9.600000000000000e-01	3.143754e+00
1.080000000000000e+00	3.120466e+00
1.200000000000000e+00	3.101843e+00
1.320000000000000e+00	3.088183e+00
1.440000000000000e+00	3.079702e+00
1.560000000000000e+00	3.076536e+00
1.680000000000000e+00	3.078737e+00
1.800000000000000e+00	3.086270e+00
1.920000000000000e+00	3.099012e+00
2.040000000000000e+00	3.116761e+00
2.160000000000000e+00	3.139235e+00
2.280000000000000e+00	3.166078e+00
2.400000000000000e+00	3.196869e+00
2.520000000000000e+00	3.231129e+00
2.640000000000000e+00	3.268331e+00
2.760000000000000e+00	3.307907e+00
2.880000000000000e+00	3.349262e+00
3.000000000000000e+00	3.391779e+00
3.120000000000000e+00	3.434836e+00
3.240000000000000e+00	3.477809e+00
3.360000000000000e+00	3.520082e+00
3.480000000000000e+00	3.561062e+00
3.600000000000000e+00	3.600176e+00
3.720000000000000e+00	3.636889e+00
3.840000000000000e+00	3.670704e+00
3.960000000000000e+00	3.701165e+00
4.080000000000000e+00	3.727871e+00
4.200000000000000e+00	3.750469e+00
4.320000000000000e+00	3.768667e+00
4.440000000000000e+00	3.782228e+00
4.560000000000000e+00	3.790978e+00
4.680000000000000e+00	3.794805e+00
4.800000000000000e+00	3.793660e+00
4.920000000000000e+00	3.787557e+00
5.040000000000000e+00	3.776576e+00
5.160000000000000e+00	3.760856e+00
5.279999999999999e+00	3.740600e+00
5.399999999999999e+00	3.716072e+00
5.520000000000000e+00	3.687591e+00
5.640000000000000e+00	3.655533e+00
5.760000000000000e+00	3.620326e+00
